Date,AAPL,JPM,MSFT,NVDA
2022-10-12,135.93112182617188,95.79529571533203,219.3583221435547,11.484936714172363
2022-10-13,140.5001220703125,101.1208724975586,227.60794067382812,11.944336891174316
2022-10-14,135.9703826904297,102.80360412597656,222.08872985839844,11.212296485900879
2022-10-17,139.93020629882812,107.12137603759766,230.80477905273438,11.872429847717285
2022-10-18,141.24685668945312,109.87660217285156,231.747314453125,11.951326370239258
2022-10-19,141.35498046875,107.72233581542969,229.78451538085938,12.0352144241333
2022-10-20,140.89317321777344,107.3709945678711,229.46383666992188,12.178030014038086
2022-10-21,144.70556640625,113.01092529296875,235.2648162841797,12.449671745300293
2022-10-24,146.8476104736328,113.14961242675781,240.2495880126953,12.582498550415039
2022-10-25,149.68731689453125,113.44546508789062,243.5630645751953,13.243633270263672
2022-10-26,146.74935913085938,114.7491226196289,224.7705841064453,12.879112243652344
2022-10-27,142.27862548828125,115.20216369628906,220.32998657226562,13.158743858337402
2022-10-28,153.0281219482422,116.57054901123047,229.1917724609375,13.815882682800293
2022-10-31,150.66990661621094,116.38561248779297,225.55767822265625,13.479323387145996
2022-11-01,148.0267333984375,118.4843978881836,221.7097930908203,13.52526569366455
2022-11-02,142.5045928955078,117.39340209960938,213.86830139160156,13.201688766479492
2022-11-03,136.46168518066406,117.6060562133789,208.18394470214844,13.403422355651855
2022-11-04,136.19593811035156,120.82357025146484,215.12176513671875,14.137460708618164
2022-11-07,136.72740173339844,121.46151733398438,221.41827392578125,14.282271385192871
2022-11-08,137.29827880859375,121.53550720214844,222.38995361328125,14.582878112792969
2022-11-09,132.74134826660156,119.95448303222656,218.1534423828125,13.75795841217041
2022-11-10,144.5519256591797,124.89173889160156,236.1004638671875,15.72937297821045
2022-11-11,147.3372802734375,125.09510803222656,240.113525390625,16.30561637878418
2022-11-14,145.93971252441406,123.80997467041016,234.71096801757812,16.273658752441406
2022-11-15,147.67190551757812,122.91314697265625,235.11907958984375,16.64417266845703
2022-11-16,146.44163513183594,123.07955169677734,235.5478057861328,15.88916301727295
2022-11-17,148.3411865234375,122.54328155517578,235.49908447265625,15.656466484069824
2022-11-18,148.90219116210938,123.74524688720703,235.05084228515625,15.388821601867676
2022-11-21,145.6739501953125,123.01483154296875,235.859619140625,15.296940803527832
2022-11-22,147.80972290039062,124.85472869873047,238.763427734375,16.016996383666992
2022-11-23,148.68569946289062,126.18612670898438,241.24818420410156,16.497364044189453
2022-11-25,145.7723846435547,126.42652893066406,241.16050720214844,16.24869155883789
2022-11-28,141.94375610351562,124.216796875,235.57704162597656,15.806275367736816
